#NOMPARTIDA,PARTIDA,CREDITOS INICIALES,_unnamed,OBLIGACIONES RECONOCIDAS A 31 MARZO 2016
VESTUARIO DE LA BRIGADA,1533. .22104. ,8000.0,,
URBANIZACION CALA PUNTAL,1533. .60901.16,316559.81,,
MAQUINARIA. INSTALACIONES Y UTILLAJES,1533. .62300. ,53000.0,,519.89
ELEMENTOS TRANSPORTE BRIGADA,1533. .62400. ,27000.0,,
MOBILIARIO URBANO,1533. .62500. ,30000.0,,10073.25
ESCENARIO,1533. .62500.16,15000.0,,
MANTENIMIENTO ESTACIONES DE BOMBEO AGUAS SUCIAS,160. .22700. ,21500.0,,3569.3
SERVICIO RECOGIDA Y TRANSPORTE RSU,162. .22700. ,905000.0,,277796.99
SUPERVISION CONTRATO RSU,162. .22799. ,14520.0,,3630.0
CONCESION LIMPIEZA VIARIA,163. .22700. ,795917.64,,207213.15
SERVICIOS VARIOS,163. .22700.01,45000.0,,
SUPERVISION CONTRATO LIMPIEZA VIARIA,163. .22799. ,14520.0,,3630.0
RETRIBUCIONES BASICAS LABORALES,164. .13000. ,12114.37,,2159.51
RETRIBUCIONES COMPLEMENTARIAS LABORALES,164. .13002. ,11256.17,,2814.03
GRATIFICACION POR PROLONGACION JORNADA,164. .15100. ,3000.0,,889.77
SEGURIDAD SOCIAL,164. .16000. ,6915.43,,2257.55
REPARACION INFRAESTRUCTURAS CEMENTERIO,164. .21200. ,10000.0,,259.63
REPARACION MAQ INST Y UTILLAJE CEMENTERIO,164. .21300. ,1500.0,,
GASTOS DIVERSOS,164. .22699. ,1000.0,,
AMPLIACION CEMENTERIO,164. .61900. ,100000.0,,
SUMINISTRO ENERGÍA ELECTRICA,165. .22100. ,183000.0,,127752.38
CONCESIONARIA ALUMBRADO PUBLICO,165. .22100.01,700000.0,,106858.56
RETRIBUCIONES BÁSICAS FUNCIONARIOS A2,170. .12001. ,15819.43,,3242.7
TRIENIOS FUNCIONARIOS,170. .12006. ,842.88,,273.94
COMPLEMENTO DE DESTINO FUNCIONARIOS,170. .12100. ,7065.0,,1530.75
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,170. .12101. ,9023.31,,1955.04
PLAN DE EMPLEO CONJUNTO (EXP 7744),170. .13100. ,37630.16,,27385.86
SEGURIDAD SOCIAL,170. .16000. ,22646.32,,14288.69
CONSERVACIÓN MOLI NOGUERA,170. .21200. ,4000.0,,
TALLER EDUCACIÓN AMBIENTAL,170. .22606. ,500.0,,425.0
HUERTOS SOLIDARIOS,170. .22609. ,3000.0,,
FERIA AGRÍCOLA,170. .22609.01,1500.0,,
GASTOS  DIVERSOS,170. .22699. ,2500.0,,
GASTOS DIVERSOS PLAN EMPLEO CONJUNTO,170. .22699.01,6000.0,,4235.0
ISO 14001,170. .22706. ,4553.36,,
VIGILANCIA AMBIENTAL EMISARIO SUBMARINO,170. .22706.01,30000.0,,8111.59
"SUBVENCIÓN ""EL CAU""",170. .48009. ,4000.0,,
"SUBVENCIÓN ""PRODA""",170. .48017. ,2400.0,,
PUERTA BARBACOA  ERMITA,170. .62300. ,,,
BARBACOA HOMOLOGADA ERMITA,170. .62300.16,7500.0,,7499.58
TRACTOR CON BRAZO ARTICULADO,170. .62400.16,50000.0,,
REPARACIÓN INFRAESTRUCTURA JARDINERÍA,1710. .21200. ,15000.0,,2465.98
REPARACIÓN INFRAESTRUCTURA JARDINERÍA,1710. .21300. ,,,
RECOGIDA PUNTOS VERDES,1710. .22699.01,25000.0,,
MANTENIMIENTO Y CONSERVACION ZONAS VERDES,1710. .22799. ,339897.57,,52407.82
RENOVACIÓN PARQUES INFANTILES,1710. .61900. ,29000.0,,
FUENTES,1710. .62500. ,6000.0,,
MANTENIMIENTO PLAYAS,1711. .21000. ,9000.0,,756.24
AUTONOMICOS. CANON OCUPACION PLAYAS,1711. .22501. ,4000.0,,
VIGILANCIA PLAYAS,1711. .22701. ,90270.0,,
MANTENIMIENTO Y LIMPIEZA PLAYAS,1711. .22799. ,210589.71,,16199.21
PRESTACIONES SOCIALES FUNCIONARIOS,221. .16204.01,10880.0,,
PRESTACIONES  SOCIALES LABORALES,221. .16204.02,10880.0,,
PRESTACIONES SOCIALES PERSONAL,221. .16209. ,15000.0,,4458.93
ANTICIPOS PERSONAL,221. .83000. ,10000.0,,
RETRIBUCIONES CRIS,2311. .13000. ,145909.16,,27531.12
RETRIBUCIONES COMPLEMENTARIAS CRIS,2311. .13002. ,132730.32,,31842.65
UPCCA,2311. .13100. ,37593.08,,6229.41
SEGURIDAD SOCIAL,2311. .16000. ,80955.54,,26589.04
ALQUILER LOCAL TALLERES,2311. .20200. ,4050.0,,1012.52
PROGRAMAS,2311. .22609.00,35000.0,,867.26
GASTOS DIVERSOS CRIS,2311. .22699.00,4000.0,,968.63
PROGRAMA ERASMUS+,2311. .22699.01,19100.0,,
PROGRAMAS ALIMENTOS,2311. .22699.02,20000.0,,
PROGRAMAS INMIGRACIÓN. AGENCIA AMICS,2311. .22706. ,2500.0,,
PRESTACIONES ECONOMICAS,2311. .48001. ,300000.0,,96365.74
PEIS ACOGIMIENTO FAMILIAR,2311. .48005. ,19117.0,,
ONGs y ASOCIACIONES LOCALES,2311. .48008. ,65000.0,,
CONVENIO COMEDOR SOCIAL,2311. .48010.12,20000.0,,
RETRIBUCIONES BASICAS LABORALES FIJOS (AMICS),2312. .13000. ,17358.94,,3145.53
RETRIBUCIONES COMPLEMENTARIAS LABORALES FIJOS,2312. .13002. ,16078.83,,4019.7
SEGURIDAD SOCIAL,2313. .16000. ,8560.07,,880.17
TRANSPORTE ADAPTADO (EXP 6524),2313. .22300. ,34485.0,,3865.07
LOTES SAN JUAN,2313. .22601. ,15540.0,,
TARJETA DORADA,2313. .22605. ,1000.0,,455.0
"PROGRAMA ""MENJAR DOMICILIARI""",2313. .22606. ,10500.0,,504.0
GIMNASIA 3ª EDAD,2313. .22799. ,7500.0,,
Convenio Residencia-Centro de día,2313. .48010. ,235600.0,,55562.0
RETRIBUCIONES BÁSICAS FUNCIONARIOS A2,2314. .12001. ,31946.17,,5811.42
RETRIBUCIONES BÁSICAS FUNCIONARIOS C1,2314. .12003. ,12387.36,,2181.69
TRIENIOS FUNCIONARIOS,2314. .12006. ,6128.16,,1532.04
COMPLEMENTO DE DESTINO FUNCIONARIOS,2314. .12100. ,19459.2,,4864.8
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,2314. .12101. ,25485.56,,6371.37
RETRIBUCIONES BASICAS LABORALES FIJOS,2314. .13000. ,168692.67,,34518.7
RETRIBUCIONES COMPLEMENTARIAS LABORALES FIJOS,2314. .13002. ,148445.34,,33091.65
RETRIBUCIONES LABORAL EVENTUAL,2314. .13100. ,106387.68,,22162.73
SEGURIDAD SOCIAL,2314. .16000. ,132846.63,,31749.34
MANTENIMIENTO EDIFICIOS,2314. .21200. ,5000.0,,443.61
OTROS GASTOS DIVERSOS,2314. .22699. ,3000.0,,380.72
MOBILIARIO Y ENSERES,2314. .62500.16,3000.0,,
RETRIBUCIONES LABORAL EVENTUAL (TALLER EMPLEO),241. .13100.15,163742.18,,69718.09
SEGURIDAD SOCIAL TALLER EMPLEO,241. .16000. ,23657.91,,11850.02
APLICACION INFORMATICA AGENCIA COLOCACIÓN,241. .22203.01,750.0,,81.78
FORMACION PARA EMPRENDEDORES y DESEMPLEADOS,241. .22606. ,15000.0,,
TALLER DE EMPLEO (APORTACION MUNICIPAL),241. .22699.01,45000.0,,723.48
TALLER DE EMPLEO (APORTACION AUTONOMICA),241. .22699.02,34560.0,,231.59
SERVICIOS APOYO EMPRENDEDURISMO Y VIVERISMO (VINAL,241. .22799.15,57108.0,,7018.0
PROGRAMAS FOMENTO EMPLEO,241. .47001. ,25000.0,,
PRODUCTOS DE LIMPIEZA,311. .22110. ,25000.0,,5017.24
RECOGIDA ANIMALES MUERTOS Y ABANDONADOS (EXP 11631,311. .22797. ,13213.2,,2202.2
CONTROL DE LEGIONELA DESINSECTACIÓN Y DESRATIZACIÓ,311. .22799. ,76000.0,,9987.5
RETRIBUCIONES BASICAS FUNCIONARIOS E/AP,320. .12005. ,9548.52,,1661.88
TRIENIOS FUNCIONARIOS,320. .12006. ,1633.2,,408.3
COMPLEMENTO DE DESTINO FUNCIONARIOS,320. .12100. ,3696.84,,924.21
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,320. .12101. ,5428.44,,1357.11
RETRIBUCIONES BASICAS LABORALES,320. .13000. ,334851.37,,65279.76
RETRIBUCIONES COMPLEMENTARIAS LABORALES,320. .13002. ,310933.15,,58009.84
GRATIFICACIONES POR PROLONGACION DE JORNADA,320. .15100. ,2000.0,,776.75
SEGURIDAD SOCIAL,320. .16000. ,171031.43,,29414.13
MAQUINARIA. INSTALACIONES Y UTILLAJES,320. .21300. ,3000.0,,
GASTOS  DIVERSOS EDUCACION,320. .22699. ,4000.0,,
SUBVENCION LIBROS TEXTO,320. .48000. ,150000.0,,8565.17
MANTENIMIENTOS EDIFICIOS,323. .21200. ,20000.0,,3562.89
GASOIL COLEGIOS,323. .22103. ,45000.0,,7804.08
RETRIBUCIONES BÁSICAS FUNCIONARIOS A2,3261. .12001. ,16024.31,,6187.67
TRIENIOS FUNCIONARIOS,3261. .12006. ,2528.64,,210.72
COMPLEMENTO DESTINO FUNCIONARIOS,3261. .12100. ,7065.0,,588.75
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,3261. .12101. ,9023.31,,751.94
MONITORES CASAL JOVE,3261. .13100. ,42452.61,,6030.39
SEGURIDAD SOCIAL,3261. .16000. ,19736.03,,2198.83
ESCUELA DE VERANO L'ILLA (EXP 593/2015),3261. .22606. ,82000.0,,
"ACTIVIDADES ""CASAL JOVE""",3261. .22609.02,10000.0,,297.78
PROGRAMAS JUVENILES,3261. .22609.03,10000.0,,62.44
PARC DE NADAL,3261. .22609.04,8000.0,,8319.0
RETRIBUCIONES BÁSICAS C1,3262. .12003. ,12628.2,,1890.87
TRIENIOS FUNCIONARIOS,3262. .12006. ,1913.76,,345.6
COMPLEMENTO DE DESTINO FUNCIONARIOS,3262. .12100. ,5276.4,,2229.26
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,3262. .12101. ,7438.93,,537.28
SEGURIDAD SOCIAL,3262. .16000. ,6977.87,,
ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,3262. .20500. ,300.0,,
"REPARACIONES Y MANTENIMIENTO, INSTALACIONES Y OTRO",3262. .21300. ,300.0,,
MATERIAL ESCUELA DE ARTE,3262. .22000. ,4000.0,,1027.76
PROGRAMA TRANSPORTE ESCOLAR y UNIVERSITARIO,3262. .22300. ,120000.0,,9332.8
PROGRAMAS CULTURALES CENTROS Y DIFUSION EDUC.,3262. .22602. ,4000.0,,3118.5
GASTOS DIVERSOS,3262. .22699. ,4000.0,,
TRABAJOS TÉCNICOS,3262. .22706. ,2000.0,,156.09
SERVICIOS EPA (EXP 4599/2015),3262. .22799.01,91000.0,,24209.48
CHIQUIBONO,3262. .48001. ,150000.0,,25109.35
PREMIO CONCURSO PINTURA,3262. .48008. ,,,
RETRIBUCIONES BASICAS FUNCIONARIOS A2,330. .12001. ,40568.35,,6371.15
RETRIBUCIONES BASICAS FUNCIONARIOS C1,330. .12003. ,12183.48,,2181.69
RETRIBUCIONES BASICAS FUNCIONARIOS C2,330. .12004. ,10364.46,,
TRIENIOS FUNCIONARIOS,330. .12006. ,3613.44,,554.88
COMPLEMENTO DE DESTINO FUNCIONARIOS,330. .12100. ,28681.92,,4648.92
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,330. .12101. ,37755.6,,6095.66
RETRIBUCIONES BASICAS LABORALES,330. .13000. ,71366.49,,14392.43
RETRIBUCIONES COMPLEMENTARIAS LABORALES,330. .13002. ,67371.06,,15070.48
GRATIFICACIONES CULTURA,330. .15100. ,2000.0,,998.31
SEGURIDAD SOCIAL,330. .16000. ,70119.63,,26551.27
MATERIAL TECNICO,330. .22003. ,500.0,,
GASTOS DIVERSOS,330. .22699. ,1000.0,,1711.68
"LIBROS, PRENSA Y REVISTAS CULT.",3321. .22001. ,17000.0,,6914.3
"PROGRAMA  ""ANIMACIÒ LECTORA""",3321. .22603. ,3000.0,,
OTROS GASTOS DIVERSOS,3321. .22699. ,,,
BIBLIOTECA DEL MAR,3321. .22799. ,9000.0,,
MOBILIARIO BIBLIOTECA,3321. .62500.16,15000.0,,
ALQUILERES LOCALES,333. .20200. ,9607.53,,2359.5
MAQUINARIA. INSTALACIONES Y UTILLAJES,333. .21300. ,2000.0,,
ALQUILER MAQUINARIA CONCIERTOS,334. .20300. ,15000.0,,4025.41
PUBLICIDAD Y PROPAGANDA,334. .22602. ,8500.0,,991.99
PROGRAMA DE NORMALIZACION LIGÜISTICA,334. .22606. ,6000.0,,
PROGRAMAS,334. .22609.00,70000.0,,1902.32
TALLER MUNICIPAL DE TEATRO,334. .22609.01,10000.0,,4000.0
ORGANIZACIÓN SEMANA SANTA,334. .22799. ,12000.0,,
CONVENIO UJI,334. .42390. ,12000.0,,12000.0
PREMIOS Y BECAS DE CULTURA,334. .48008. ,5000.0,,
Amics de Vinaròs,334. .48012. ,5000.0,,
SUBVENCIÓN ESCUELA DE MÚSICA,334. .48025. ,42000.0,,
"CONVENIO ESCUELA DE MUSICA ""ESMUVI""",334. .48027. ,3000.0,,
ARRENDAMIENTO CARPAS,338. .20300. ,115000.0,,25635.59
FESTEJOS POPULARES VERANO,338. .22609.00,134000.0,,72.6
FESTEJOS POPULARES PATRONALES,338. .22609.01,14000.0,,7260.14
FESTEJOS POPULARES INVIERNO Y NAVIDAD,338. .22609.02,115000.0,,85022.47
FESTEJOS POPULARES VARIOS,338. .22609.03,17000.0,,
CARNAVAL DE VERANO,338. .22609.04,8000.0,,
PREMIOS,338. .48000. ,600.0,,
RETRIBUCIONES BASICAS,340. .13000. ,146820.87,,23401.5
RETRIBUCIONES COMPLEMENTARIAS,340. .13002. ,142634.94,,29570.25
SEGURIDAD SOCIAL,340. .16000. ,74100.69,,13343.34
GASTOS DIVERSOS,340. .22699.01,5000.0,,299.75
TRANSPORTES,341. .22300. ,1000.0,,
CAMPAÑAS DEPORTE POPULAR,341. .22609.00,15000.0,,
GASTOS DIVERSOS,341. .22609.01,5160.0,,
EVENTOS ESPECIALES,341. .22609.02,12000.0,,
SUBVENCIONES DEPORTIVAS,341. .48000. ,93000.0,,
MANTENIMIENTO EDIFICIOS E INSTALACIONES DEPORTIVAS,342. .21200. ,37000.0,,7717.59
MANTENIMIENTO CESPED CIUDAD DEPORTIVA,342. .21201. ,8500.0,,
"MANTENIMIENTO, MAQUINARIA E INSTALACIONES",342. .21300. ,5000.0,,1164.86
COMBUSTIBLES Y CARBURANTES DEPORTES,342. .22103. ,8000.0,,1469.99
ALMACEN PISTA ATLETISMO,342. .62200.16,6000.0,,
MAQUINARIA E INSTALACIONES DEPORTIVAS,342. .62300.16,1950.0,,1161.43
WC CIUDAD DEPORTIVAS,342. .63200.16,5000.0,,
RETRIBUCIONES BASICAS LABORALES,410. .13000. ,21644.23,,3527.67
RETRIBUCIONES COMPLEMENTARIAS LABORALES,410. .13002. ,19963.16,,4990.77
SEGURIDAD SOCIAL,410. .16000. ,10651.49,,4185.54
DESBROCE CUNETAS Y HERBICIDA,412. .21000. ,10000.0,,4378.99
BRIGADA VERDE,412. .21002. ,60500.0,,13796.45
REPARACION MAQUINARIA CAMINOS,412. .21300. ,3000.0,,278.68
GASTOS DIVERSOS,412. .22699. ,5000.0,,1407.29
"PARTICIPACION MANCOMUNIDAD ""TAULA DEL SENIA""",412. .46300. ,13631.4,,
CUOTAS MERCADO,4312. .22699.01,19200.0,,7200.0
RETRIBUCIONES BASICAS FUNCIONARIOS A2,4314. .12001. ,15921.87,,2905.71
RETRIBUCIONES BASICAS FUNCIONARIOS C2,4314. .12004. ,10400.28,,1452.6
TRIENIOS FUNCIONARIOS,4314. .12006. ,1088.32,,805.68
COMPLEMENTO DE DESTINO FUNCIONARIOS,4314. .12100. ,11577.72,,2668.8
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,4314. .12101. ,15277.81,,3506.73
SEGURIDAD SOCIAL,4314. .16000. ,13892.09,,2769.73
MANTENIMIENTO AFIC,4314. .20600. ,3500.0,,
CAMPAÑAS COMERCIALES,4314. .22602. ,30000.0,,3358.01
GASTOS DIVERSOS,4314. .22699.00,3000.0,,833.72
SUBVENCION ASOCIACION DE COMERCIANTES,4314. .48015. ,2400.0,,
MAQUINARIA COMERCIO,4314. .63300.16,2000.0,,
RETRIBUCIONES BASICAS FUNCIONARIOS C2,432. .12004. ,10400.28,,1815.75
TRIENIOS FUNCIONARIOS,432. .12006. ,867.84,,162.72
COMPLEMENTO DE DESTINO FUNCIONARIOS,432. .12100. ,4512.72,,1128.18
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,432. .12101. ,6254.49,,1563.63
RETRIBUCIONES BÁSICAS,432. .13000. ,28665.94,,5184.15
RETRIBUCIONES COMPLEMENTARIAS,432. .13002. ,26839.46,,6709.86
GRATIFICACIONES TURISMO,432. .15100. ,200.0,,94.35
SEGURIDAD SOCIAL,432. .16000. ,19850.43,,7193.93
SUMINISTROS DIVERSOS,432. .22199. ,200.0,,
PROTOCOLO,432. .22601. ,3000.0,,
FERIAS DE TURISMO Y ACTOS PROMOCIONALES,432. .22602.00,8000.0,,2758.91
PUBLICIDAD Y PROPAGANDA,432. .22602.01,4000.0,,1566.95
ORGANIZACIÓN CONCURSO COCINA APLICADA AL LANGOSTIN,432. .22609.00,11000.0,,
CREACIÓN OFERTA COMPLEMENTARIA,432. .22699.00,30000.0,,1250.0
GASTOS DIVERSOS,432. .22699.01,1000.0,,
PROGRAMA DINAMITZACIÓ DEL PRODUCTE TURÍSTIC FAMILI,432. .22699.02,20000.0,,1000.0
PROGRAMA DINAMITZACIÓ MICROSEGMENTS TURÍSTICS,432. .22699.03,6000.0,,
PROGRAMA DINIAMIT. DEL PRODUCTE GASTRONÓMIC (TAST,432. .22699.04,4500.0,,
ESTUDIOS Y TRABAJOS TÉCNICOS,432. .22706.00,3000.0,,
PLAN ESTRATÉGICO Y DE MARQUETING TURÍSTICO,432. .22706.01,22000.0,,
OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS,432. .22799. ,12000.0,,
EDICIÓN DE GUÍAS Y MATERIAL GRÁFICO,432. .24000. ,34000.0,,3032.93
MATERIA PROMOCIONAL GASTRÓMIC,432. .24000.01,8000.0,,
MATERIAL PROMOCIONAL TURISME ACCESIBLE,432. .24000.02,4000.0,,
PREMIOS Y BECAS,432. .48002. ,2500.0,,
CARPA SOMBRA PLAYA ACCESIBLE,432. .62300.16,12000.0,,
II FASE SEÑALIZACION HOSTELERA,432. .62301.16,3000.0,,
EQUIPAMIENTO PLAYAS Y CALAS,432. .62500. ,10000.0,,
SERVICIO DE TRANSPORTE URBANO (EXP 11131/2015),4411. .22300.01,167835.43,,24535.14
MANTENIMIENTO DE CAMINOS RURALES,454. .21001. ,75000.0,,1358.59
ADMINISTRACIÓN ELECTRÓNICA,491. .20601. ,27500.0,,
CMS MUNICIPAL (RED.ES),491. .72300.16,18000.0,,
RETRIBUCIONES BASICAS FUNCIONARIOS C1,493. .12003. ,12477.4,,2181.69
TRIENIOS,493. .12006. ,2475.6,,618.9
COMPLEMENTO DE DESTINO FUNCIONARIOS,493. .12100. ,5239.2,,1332.3
COMPLEMENTO ESPECÍFICO FUNCIONARIOS,493. .12101. ,7301.25,,1825.32
SEGURIDAD SOCIAL,493. .16000. ,7038.32,,1275.87
PROGRAMAS OMIC,493. .22699. ,1200.0,,
RETRIBUCIONES CARGOS ELECTOS,912. .10000. ,129153.92,,27675.84
SEGURIDAD SOCIAL,912. .16000. ,42145.56,,10573.95
INDEMNIZACIONES ASISTENCIAS ORGANOS COLEGIADOS,912. .23300. ,119700.0,,19150.0
SUBVENCIONES GRUPOS POLÍTICOS,912. .48011. ,12840.0,,
RETRIBUCIONES BASICAS FUNCIONARIOS A1,920. .12000. ,77413.51,,14121.08
RETRIBUCIONES BASICAS FUNCIONARIOS A2,920. .12001. ,31780.99,,5811.42
RETRIBUCIONES BÁSICAS FUNCIONARIOS B,920. .12002. ,14084.33,,2539.98
RETRIBUCIONES BASICAS FUNCIONARIOS C1,920. .12003. ,50474.31,,8726.76
RETRIBUCIONES BASICAS FUNCIONARIOS C2,920. .12004. ,125091.36,,22805.65
RETRIBUCIONES BASICAS FUNCIONARIOS E/AP,920. .12005. ,18661.52,,3323.76
TRIENIOS FUNCIONARIOS,920. .12006. ,36180.0,,7793.46
OTRAS RETRIBUCIONES BÁSICAS (PAGA EXTRA 2012),920. .12009. ,195372.79,,195321.16
COMPLEMENTO DE DESTINO FUNCIONARIOS,920. .12100. ,141927.0,,32434.33
